type,name,adress,postal-code,city,geo-length,geo-width,open-houres,marks
PACZKOMAT,Paczkomat SOB01A,Kościuszki 32,08-460,Sobolew,21.66925,51.73963,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy sklepie Top Market
POCZTA_POLSKA,UP Kraków 60,Osiedle Na Stoku 1,31-705,Kraków,20.0575580596924,50.0941581726074,"[{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Kraków 49,Aleja Pokoju 33,31-557,Kraków,19.9758377075195,50.0586853027344,"[{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Kraków 45,Senatorska 26,30-104,Kraków,19.917516708374,50.0535430908203,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""14:30""},{""day"":""WORKING"",""from"":""07:00"",""to"":""20:00""}]",
PACZKOMAT,Paczkomat LEG190,Wrocławska 101,59-200,Legnica,16.17985,51.20987,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Stacja gazowa
POCZTA_POLSKA_ORLEN,Stacja PKN Orlen 0339,Ostrobramska 124,04-193,Warszawa,21.0874004364014,52.2365493774414,"[{""day"":""SATURDAY"",""from"":""00:00"",""to"":""23:59""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""23:59""},{""day"":""WORKING"",""from"":""00:00"",""to"":""23:59""},{""day"":""HOLIDAY"",""from"":""00:00"",""to"":""23:59""}]",
POCZTA_POLSKA,UP Wolbrom,Marszałka Józefa Piłsudskiego 57A,32-340,Wolbrom,19.7622489929199,50.380973815918,"[{""day"":""SATURDAY"",""from"":""07:00"",""to"":""13:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Wolin,Zamkowa 22,72-510,Wolin,14.6162443161011,53.8444938659668,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""14:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""18:00""}]",
POCZTA_POLSKA,UP Wołów,Wojska Polskiego 36,56-100,Wołów,16.64111328125,51.3343811035156,"[{""day"":""MONDAY"",""from"":""08:30"",""to"":""18:30""},{""day"":""TUESDAY"",""from"":""08:30"",""to"":""18:30""},{""day"":""WEDNESDAY"",""from"":""08:30"",""to"":""18:30""},{""day"":""THURSDAY"",""from"":""08:30"",""to"":""18:30""},{""day"":""FRIDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""SATURDAY"",""from"":""09:00"",""to"":""13:30""}]",
POCZTA_POLSKA,UP Wręczyca,Szkolna 3,42-130,Wręczyca Wielka,18.9180297851562,50.8437004089356,"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""20:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""17:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""17:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""17:00""},{""day"":""FRIDAY"",""from"":""08:00"",""to"":""15:30""}]",
POCZTA_POLSKA,UP Poznań 54,Osiedle Czecha 73/74,61-280,Poznań,16.9772510528564,52.3860244750977,"[{""day"":""SATURDAY"",""from"":""09:00"",""to"":""13:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Poznań 50,Osiedle Przyjaźni 115,61-640,Poznań,16.9331932067871,52.434024810791,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""14:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
PACZKOMAT,Paczkomat PNT298,Nałęczowska 10,24-320,Poniatowa,22.06659,51.19206,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy markecie Stokrotka
PACZKOMAT,Paczkomat LEZ02A,Kopernika 5A,37-300,Leżajsk,22.41682,50.26103,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy Galerii Pilawa
POCZTA_POLSKA,UP Poznań 33,Bukowa 4,61-440,Poznań,16.9046764373779,52.3650741577148,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""14:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
PACZKOMAT,Paczkomat TYC01A,Bielska 107,43-100,Tychy,18.97958,50.1091,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy markecie Auchan
POCZTA_POLSKA,UP Białystok 1,Warszawska 10,15-001,Białystok,23.1680908203125,53.1345443725586,"[{""day"":""SATURDAY"",""from"":""00:00"",""to"":""23:59""},{""day"":""WORKING"",""from"":""00:00"",""to"":""23:59""}]",
PACZKOMAT,Paczkomat TCZ02N,Braci Grimm 4,83-110,Tczew,18.77602,54.09017,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy markecie Carrefour
POCZTA_POLSKA,UP Poznań 25,Szczepankowo 72,61-310,Poznań,17.0100517272949,52.3639984130859,"[{""day"":""SATURDAY"",""from"":""09:00"",""to"":""13:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""19:00""}]",
POCZTA_POLSKA,UP Poznań 1,Tadeusza Kościuszki 77,61-890,Poznań,16.9193572998047,52.4064445495606,"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Pasłęk 1,Władysława Jagiełły 13,14-400,Pasłęk,19.657808303833,54.0636825561523,"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""20:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""FRIDAY"",""from"":""08:00"",""to"":""18:00""}]",
POCZTA_POLSKA,UP Kozienice 1,Radomska 23,26-900,Kozienice,21.5504608154297,51.5849456787109,"[{""day"":""SATURDAY"",""from"":""07:00"",""to"":""13:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""18:00""}]",
POCZTA_POLSKA,UP Pabianice 3,Zamkowa 42,95-201,Pabianice,19.3453006744385,51.6646995544434,"[{""day"":""WORKING"",""from"":""10:00"",""to"":""20:00""}]",
